id,status,notification,division_id,sportshall_id,planned_at,planned_orig_at,season_id,delayed_request,delayed_status,delayed_prop_at,delayed_prop_count,team1_id,team2_id,score1,score2,score3,score4,forfeit,forfeit_at,created_at,updated_at
94520,0,0,768,319,2024-12-17 22:00:00,,2024,0,0,,0,962,1387,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94521,0,0,768,319,2024-12-20 19:00:00,,2024,0,0,,0,894,2040,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94522,0,0,768,595,2024-12-21 20:00:00,,2024,0,0,,0,2043,1589,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94523,0,0,768,319,2024-12-26 20:00:00,,2024,0,0,,0,671,2163,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94524,0,0,768,759,2024-12-29 17:00:00,,2024,0,0,,0,1791,1374,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94525,0,0,768,319,2025-01-03 19:00:00,,2024,0,0,,0,894,962,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94526,0,0,768,595,2025-01-04 20:00:00,,2024,0,0,,0,2043,2163,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94527,0,0,768,334,2025-01-07 22:00:00,,2024,0,0,,0,893,1654,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94528,0,0,768,319,2025-01-07 22:00:00,,2024,0,0,,0,1589,1387,0,0,0,0,0,,2024-08-17 09:46:23,2024-08-17 09:46:23
94529,0,0,768,334,2025-01-08 20:00:00,,2024,0,0,,0,1374,671,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94530,0,0,768,595,2025-01-11 20:00:00,,2024,0,0,,0,2043,1791,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94531,0,0,768,319,2025-01-14 22:00:00,,2024,0,0,,0,962,894,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94532,0,0,768,646,2025-01-17 19:00:00,,2024,0,0,,0,1654,2043,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94533,0,0,768,759,2025-01-19 17:00:00,,2024,0,0,,0,1791,893,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94534,0,0,768,334,2025-01-20 22:00:00,,2024,0,0,,0,1387,2163,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94535,0,0,768,319,2025-01-21 22:00:00,,2024,0,0,,0,1589,962,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94536,0,1,768,334,2024-11-27 20:00:00,2025-01-22 20:00:00,2024,0,0,,0,1374,894,0,0,0,0,0,,2024-08-17 09:46:24,2024-11-27 20:00:23
94537,0,0,768,319,2025-01-23 20:00:00,,2024,0,0,,0,671,1654,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94538,0,0,768,595,2025-01-25 20:00:00,,2024,0,0,,0,2043,893,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94539,0,0,768,787,2025-01-31 21:00:00,2025-01-28 22:00:00,2024,0,0,,0,962,1374,0,0,0,0,0,,2024-08-17 09:46:24,2024-11-21 13:38:12
94540,0,0,768,314,2025-01-29 22:00:00,,2024,0,0,,0,2040,2163,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94541,0,0,768,646,2025-01-30 19:00:00,,2024,0,0,,0,1654,1387,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94542,0,0,768,319,2025-01-31 19:00:00,,2024,0,0,,0,894,893,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94543,0,0,768,759,2025-02-02 17:00:00,,2024,0,0,,0,1791,2043,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94544,0,0,768,334,2025-02-04 22:00:00,,2024,0,0,,0,893,1589,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94545,0,0,768,334,2025-05-14 20:00:00,2025-02-05 20:00:00,2024,0,0,,0,1374,1654,0,0,0,0,0,,2024-08-17 09:46:24,2024-09-03 10:00:15
94546,0,0,768,319,2025-02-06 20:00:00,,2024,0,0,,0,671,1387,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94547,0,0,768,595,2025-02-08 20:00:00,,2024,0,0,,0,2043,894,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94548,0,0,768,595,2025-02-10 22:00:00,,2024,0,0,,0,2163,1791,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94549,0,0,768,314,2025-02-12 22:00:00,,2024,0,0,,0,2040,962,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94550,0,0,768,319,2025-02-14 19:00:00,,2024,0,0,,0,894,1374,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94551,0,0,768,759,2025-02-16 17:00:00,,2024,0,0,,0,1791,1654,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94552,0,0,768,334,2025-02-17 22:00:00,,2024,0,0,,0,1387,2043,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94553,0,0,768,334,2025-02-18 22:00:00,,2024,0,0,,0,893,894,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94554,0,0,768,319,2025-02-18 22:00:00,,2024,0,0,,0,1589,671,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94555,0,0,768,334,2025-02-19 20:00:00,,2024,0,0,,0,1374,2040,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94556,0,0,768,646,2025-02-21 19:00:00,,2024,0,0,,0,1654,2163,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94557,0,0,768,319,2025-02-25 22:00:00,,2024,0,0,,0,962,2043,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94558,0,0,768,314,2025-02-26 22:00:00,,2024,0,0,,0,2040,671,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94559,0,0,768,319,2025-02-28 19:00:00,,2024,0,0,,0,894,1589,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94560,0,0,768,595,2025-03-10 22:00:00,2025-03-02 17:00:00,2024,0,0,,0,1791,2163,0,0,0,0,0,,2024-08-17 09:46:24,2024-09-16 20:00:09
94561,0,0,768,334,2025-03-03 22:00:00,,2024,0,0,,0,1387,962,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94562,0,0,768,334,2025-03-04 22:00:00,,2024,0,0,,0,893,1374,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94563,0,0,768,319,2025-03-06 20:00:00,,2024,0,0,,0,671,2040,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94564,0,0,768,646,2025-03-07 19:00:00,,2024,0,0,,0,1654,1589,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94565,0,0,768,595,2025-03-08 20:00:00,,2024,0,0,,0,2043,962,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94566,0,0,768,314,2025-03-12 22:00:00,,2024,0,0,,0,2040,1387,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94567,0,0,768,319,2025-03-14 19:00:00,,2024,0,0,,0,894,671,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94568,0,0,768,759,2025-03-16 17:00:00,,2024,0,0,,0,1791,962,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94569,0,0,768,595,2025-03-17 22:00:00,,2024,0,0,,0,2163,1654,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94570,0,0,768,319,2025-03-18 22:00:00,,2024,0,0,,0,1589,2043,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94571,0,0,768,334,2025-03-19 20:00:00,,2024,0,0,,0,1374,1387,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94572,0,0,768,319,2025-03-20 20:00:00,,2024,0,0,,0,671,893,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94573,0,0,768,319,2025-03-25 22:00:00,,2024,0,0,,0,962,2163,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94574,0,0,768,314,2025-03-26 22:00:00,,2024,0,0,,0,2040,1589,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94575,0,0,768,646,2025-03-28 19:00:00,,2024,0,0,,0,1654,671,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94576,0,0,768,759,2025-03-30 17:00:00,,2024,0,0,,0,1791,894,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94577,0,0,768,334,2025-03-31 22:00:00,,2024,0,0,,0,1387,1374,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94578,0,0,768,595,2025-03-31 22:00:00,,2024,0,0,,0,2163,2040,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94579,0,0,768,334,2025-04-01 22:00:00,,2024,0,0,,0,893,962,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94580,0,0,768,319,2025-04-03 20:00:00,,2024,0,0,,0,671,1589,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94581,0,0,768,595,2025-04-05 20:00:00,,2024,0,0,,0,2043,2040,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94582,0,0,768,595,2025-04-07 22:00:00,,2024,0,0,,0,2163,1374,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94583,0,0,768,319,2025-04-08 22:00:00,,2024,0,0,,0,962,1654,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94584,0,0,768,319,2025-04-11 19:00:00,,2024,0,0,,0,894,1387,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94585,0,0,768,759,2025-04-13 17:00:00,,2024,0,0,,0,1791,2040,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94586,0,0,768,319,2025-04-15 22:00:00,,2024,0,0,,0,1589,1374,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94587,0,0,768,334,2025-04-15 22:00:00,,2024,0,0,,0,893,2163,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94588,0,0,768,319,2025-04-17 20:00:00,,2024,0,0,,0,671,2043,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94589,0,0,768,646,2025-04-18 19:00:00,,2024,0,0,,0,1654,962,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94591,0,0,768,334,2025-04-28 22:00:00,,2024,0,0,,0,1387,671,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94592,0,0,768,319,2025-04-29 22:00:00,,2024,0,0,,0,1589,1791,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94593,0,0,768,334,2025-04-30 20:00:00,,2024,0,0,,0,1374,893,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
94594,0,0,768,759,2025-05-11 17:00:00,,2024,0,0,,0,1791,1589,0,0,0,0,0,,2024-08-17 09:46:24,2024-08-17 09:46:24
96575,3,1,786,334,2024-09-01 21:00:00,,2024,0,0,,0,496,676,3,7,0,0,0,,2024-08-17 14:25:31,2024-11-18 11:09:37
96576,3,1,786,765,2024-09-02 19:30:00,,2024,0,0,,0,2152,1929,0,5,0,0,1,2024-09-02 22:34:31,2024-08-17 14:25:31,2024-09-04 09:04:11
96577,3,1,786,337,2024-09-06 22:00:00,,2024,0,0,,0,1904,2152,7,9,0,0,0,,2024-08-17 14:25:31,2024-09-07 13:41:01
96580,3,1,786,644,2024-09-13 20:00:00,,2024,0,0,,0,1367,1904,5,8,0,0,0,,2024-08-17 14:25:31,2024-09-15 19:18:43
96582,3,1,786,765,2024-09-16 19:30:00,,2024,0,0,,0,2152,676,6,10,0,0,0,,2024-08-17 14:25:31,2024-09-16 23:37:42
96583,3,1,786,312,2024-10-28 22:00:00,,2024,0,0,,0,1588,496,8,2,0,0,0,,2024-08-17 14:25:31,2024-11-18 11:03:15
96584,3,1,786,337,2024-09-20 22:00:00,,2024,0,0,,0,1904,1367,6,10,0,0,0,,2024-08-17 14:25:31,2024-09-21 02:53:53
96585,3,1,786,330,2024-09-22 21:00:00,,2024,0,0,,0,1929,1930,5,10,0,0,0,,2024-08-17 14:25:31,2024-09-24 17:36:20
